,open,close,high,low,volume,money
2020-01-02,100.001,100.001,100.001,100.0,22695.0,2269494.005
2020-01-03,100.001,100.003,100.003,100.0,29169.0,2916889.733
2020-01-06,100.001,100.001,100.002,100.0,19200.0,1919986.6
2020-01-07,100.0,100.002,100.002,100.0,9116.0,911601.384
2020-01-08,100.001,100.0,100.002,100.0,115105.0,11510676.723
2020-01-09,100.0,100.002,100.002,100.0,57004.0,5700503.595
2020-01-10,100.001,100.001,100.002,100.0,42158.0,4215790.604
2020-01-13,100.0,100.0,100.001,100.0,65871.0,6587153.285
2020-01-14,100.0,100.002,100.002,100.0,18335.0,1833487.54
2020-01-15,100.001,100.0,100.002,100.0,56964.0,5696481.635
2020-01-16,100.0,100.001,100.002,100.0,18580.0,1858007.795
2020-01-17,100.0,100.002,100.002,100.0,35715.0,3571502.585
2020-01-20,100.001,100.002,100.002,100.0,20755.0,2075516.28
2020-01-21,100.0,100.001,100.002,100.0,49680.0,4967998.325
2020-01-22,100.0,100.002,100.002,100.0,84524.0,8452506.575
2020-01-23,100.001,100.001,100.002,100.0,79001.0,7900218.537
2020-02-03,100.0,100.0,100.001,100.0,65763.0,6576341.254
2020-02-04,100.0,100.001,100.002,100.0,101198.0,10119884.235
2020-02-05,100.0,100.002,100.002,100.0,36188.0,3618807.995
2020-02-06,100.001,100.002,100.002,100.0,37370.0,3736986.729
2020-02-07,100.001,100.002,100.002,100.0,32147.0,3214693.853
2020-02-10,100.001,100.002,100.002,100.0,41746.0,4174602.305
2020-02-11,100.0,100.002,100.002,100.0,40653.0,4065298.215
2020-02-12,100.001,100.002,100.002,100.001,35632.0,3563220.0
2020-02-13,100.0,100.002,100.002,100.0,45110.0,4510999.39
2020-02-14,100.0,100.0,100.001,100.0,67225.0,6722543.774
2020-02-17,100.001,100.0,100.002,100.0,47920.0,4791978.68
2020-02-18,100.001,100.001,100.002,100.0,37291.0,3729089.599
2020-02-19,100.0,100.002,100.002,100.0,37200.0,3720020.7
2020-02-20,100.0,100.003,100.003,100.0,40546.0,4054586.01
2020-02-21,100.001,100.001,100.002,100.0,45291.0,4529113.895
2020-02-24,100.001,100.002,100.002,100.0,63890.0,6389134.209
2020-02-25,100.0,100.001,100.002,100.0,37330.0,3732987.055
2020-02-26,100.0,100.002,100.002,100.0,56158.0,5615911.265
2020-02-27,100.001,100.001,100.002,100.0,48315.0,4831475.966
2020-02-28,100.001,100.003,100.003,100.0,55450.0,5545117.014
2020-03-02,100.001,100.002,100.002,100.0,50689.0,5068984.8
2020-03-03,100.001,100.002,100.002,100.0,15215.0,1521501.5
2020-03-04,100.0,100.014,100.292,100.0,141571.0,14157413.775
2020-03-05,100.002,100.002,100.002,100.0,25434.0,2543410.665
2020-03-06,100.001,100.002,100.002,100.0,60049.0,6005021.65
2020-03-09,100.001,100.001,100.002,99.999,153863.0,15386380.92
2020-03-10,100.0,100.0,100.0,99.951,105751.0,10574633.357
2020-03-11,100.0,100.001,100.001,100.0,63400.0,6340083.499
2020-03-12,100.0,100.002,100.002,99.981,135838.0,13583833.0
2020-03-13,99.996,99.993,99.996,99.975,112063.0,11204700.124
2020-03-16,100.0,100.001,100.001,99.993,119928.0,11992730.817
2020-03-17,100.0,100.001,100.002,99.996,81113.0,8111325.152
2020-03-18,100.0,100.001,100.002,100.0,29706.0,2970587.449
2020-03-19,100.0,100.001,100.002,100.0,42232.0,4223190.424
2020-03-20,100.0,100.002,100.002,99.996,31098.0,3109778.28
2020-03-23,100.0,100.002,100.002,100.0,32465.0,3246480.66
2020-03-24,100.0,100.002,100.002,100.0,20740.0,2073993.75
2020-03-25,100.0,100.001,100.002,100.0,36995.0,3699470.785
2020-03-26,100.0,100.002,100.002,100.0,39658.0,3965790.171
2020-03-27,100.001,100.001,100.002,100.0,31103.0,3110288.062
2020-03-30,100.001,100.0,100.001,100.0,38024.0,3802366.776
2020-03-31,100.0,100.001,100.001,100.0,17670.0,1766996.53
2020-04-01,100.001,100.0,100.002,100.0,18264.0,1826398.436
2020-04-02,100.001,100.001,100.002,100.0,18900.0,1890000.884
2020-04-03,100.001,100.002,100.002,100.0,27602.0,2760213.598
2020-04-07,100.0,100.0,100.002,100.0,34310.0,3430981.69
2020-04-08,100.0,100.002,100.002,100.0,14900.0,1489993.3
2020-04-09,100.0,100.002,100.002,100.0,17155.0,1715499.195
2020-04-10,100.001,100.002,100.002,100.0,43137.0,4313700.394
2020-04-13,100.001,100.0,100.002,100.0,17794.0,1779399.362
2020-04-14,100.0,100.001,100.001,100.0,29347.0,2934693.685
2020-04-15,100.001,100.001,100.001,100.0,10640.0,1063997.68
2020-04-16,100.001,100.001,100.002,100.0,15284.0,1528395.316
2020-04-17,100.001,100.002,100.002,100.0,33171.0,3317069.627
2020-04-20,100.0,100.0,100.001,100.0,19925.0,1992482.375
2020-04-21,100.001,100.001,100.002,100.0,32605.0,3260508.895
2020-04-22,100.001,100.002,100.002,100.0,34618.0,3461802.582
2020-04-23,100.0,100.001,100.001,100.0,10000.0,999997.7
2020-04-24,100.001,100.001,100.002,100.0,45805.0,4580497.5
2020-04-27,100.0,100.001,100.002,100.0,33922.0,3392192.2
2020-04-28,100.001,100.001,100.002,100.0,70718.0,7071913.855
2020-04-29,100.001,100.001,100.002,100.0,78574.0,7857455.925
2020-04-30,100.001,100.002,100.002,100.0,37505.0,3750486.595
2020-05-06,100.0,100.001,100.001,100.0,17913.0,1791287.775
2020-05-07,100.001,100.001,100.021,100.0,30596.0,3059727.604
2020-05-08,100.001,100.001,100.001,100.0,5505.0,550499.395
2020-05-11,100.001,100.0,100.002,100.0,13110.0,1311000.19
2020-05-12,100.0,100.001,100.002,100.0,16119.0,1611898.2
2020-05-13,100.0,100.002,100.002,100.0,18000.0,1800009.0
2020-05-14,100.0,100.001,100.002,100.0,13219.0,1321894.781
2020-05-15,100.001,100.0,100.002,100.0,17515.0,1751503.995
2020-05-18,100.001,100.001,100.001,100.0,21333.0,2133288.112
2020-05-19,100.0,100.001,100.002,100.0,20849.0,2084911.766
2020-05-20,100.001,100.0,100.001,100.0,9935.0,993491.465
2020-05-21,100.0,100.0,100.002,100.0,12555.0,1255506.885
2020-05-22,100.001,100.001,100.002,100.0,31080.0,3107975.02
2020-05-25,100.001,100.001,100.001,100.0,25912.0,2591188.3
2020-05-26,100.0,100.002,100.002,100.0,9900.0,989998.6
2020-05-27,100.0,100.001,100.002,100.0,13700.0,1370003.8
2020-05-28,100.0,100.001,100.002,100.0,4800.0,479996.2
2020-05-29,100.001,100.002,100.002,100.0,4338.0,433800.065
2020-06-01,100.0,100.001,100.002,100.0,3205.0,320498.7
2020-06-02,100.0,100.001,100.002,100.0,12520.0,1252005.6
2020-06-03,100.001,100.001,100.001,100.0,12400.0,1239992.3
2020-06-04,100.0,100.001,100.002,100.0,174463.0,17446510.035
2020-06-05,100.001,100.001,100.002,100.0,63176.0,6317717.138
2020-06-08,100.0,100.001,100.002,100.0,31510.0,3151000.2
2020-06-09,100.0,100.001,100.002,100.0,36114.0,3611398.725
2020-06-10,100.0,100.0,100.002,100.0,35725.0,3572482.775
2020-06-11,100.0,100.001,100.002,100.0,36410.0,3641020.2
2020-06-12,100.0,100.001,100.002,100.0,38628.0,3862819.577
2020-06-15,100.0,100.001,100.002,100.0,11957.0,1195696.385
2020-06-16,100.0,100.002,100.002,100.0,22705.0,2270480.995
2020-06-17,100.0,100.002,100.002,100.0,10560.0,1055995.14
2020-06-18,100.0,100.001,100.002,100.0,11922.0,1192199.8
