,open,close,high,low,volume,money
2020-01-02,3.859,3.887,3.91,3.858,670007025.0,2603983236.07
2020-01-03,3.893,3.877,3.899,3.872,501390837.0,1948030082.9
2020-01-06,3.865,3.862,3.907,3.835,711513839.0,2760524448.033
2020-01-07,3.872,3.892,3.897,3.867,496358221.0,1927362282.945
2020-01-08,3.873,3.854,3.887,3.838,600861457.0,2321782204.344
2020-01-09,3.876,3.895,3.902,3.872,421067689.0,1636905845.368
2020-01-10,3.902,3.894,3.912,3.882,405186342.0,1576677929.04
2020-01-13,3.893,3.936,3.939,3.879,398871032.0,1558366390.014
2020-01-14,3.936,3.919,3.955,3.916,437647625.0,1723090045.06
2020-01-15,3.919,3.889,3.925,3.883,341190491.0,1330016014.786
2020-01-16,3.896,3.884,3.9,3.873,444410384.0,1726422321.242
2020-01-17,3.889,3.888,3.911,3.875,343346875.0,1335598763.372
2020-01-20,3.893,3.917,3.918,3.88,377359304.0,1472153086.628
2020-01-21,3.9,3.845,3.9,3.841,660048023.0,2548564521.4
2020-01-22,3.83,3.858,3.872,3.779,968669511.0,3709564741.862
2020-01-23,3.823,3.743,3.831,3.706,804472873.0,3042046037.9
2020-02-03,3.494,3.428,3.5,3.406,1570417491.0,5431562760.376
2020-02-04,3.419,3.532,3.537,3.418,785535217.0,2749866007.62
2020-02-05,3.545,3.566,3.611,3.53,590650982.0,2109910834.292
2020-02-06,3.581,3.65,3.665,3.557,563618693.0,2038967050.674
2020-02-07,3.625,3.642,3.646,3.601,370421215.0,1340754088.554
2020-02-10,3.623,3.654,3.663,3.607,425431138.0,1549146624.888
2020-02-11,3.662,3.694,3.709,3.66,450773930.0,1663318181.631
2020-02-12,3.69,3.72,3.725,3.681,310420052.0,1150842638.326
2020-02-13,3.719,3.7,3.733,3.689,347973189.0,1290560943.157
2020-02-14,3.695,3.725,3.742,3.694,335182366.0,1247221633.227
2020-02-17,3.734,3.807,3.813,3.734,620384463.0,2345003456.703
2020-02-18,3.8,3.784,3.805,3.758,757893959.0,2867046794.587
2020-02-19,3.781,3.784,3.812,3.774,470115905.0,1783390983.309
2020-02-20,3.798,3.87,3.882,3.784,646113019.0,2472181762.939
2020-02-21,3.862,3.883,3.914,3.857,474485214.0,1839049777.165
2020-02-24,3.862,3.852,3.874,3.824,397897556.0,1532512764.738
2020-02-25,3.795,3.844,3.856,3.758,644607442.0,2459159333.272
2020-02-26,3.807,3.813,3.858,3.792,685133687.0,2617010934.428
2020-02-27,3.825,3.813,3.838,3.804,507429594.0,1938047425.924
2020-02-28,3.756,3.684,3.765,3.676,597892629.0,2224760712.628
2020-03-02,3.698,3.818,3.831,3.698,455497651.0,1721101322.79
2020-03-03,3.857,3.815,3.877,3.798,436380701.0,1677225021.666
2020-03-04,3.808,3.843,3.844,3.792,315405253.0,1204615735.013
2020-03-05,3.888,3.934,3.942,3.851,584826329.0,2282136998.216
2020-03-06,3.903,3.86,3.905,3.857,266869397.0,1035853463.081
2020-03-09,3.811,3.738,3.811,3.729,452250914.0,1701717889.407
2020-03-10,3.739,3.82,3.829,3.694,917700180.0,3457073173.991
2020-03-11,3.82,3.757,3.82,3.755,750761149.0,2845979721.609
2020-03-12,3.722,3.698,3.724,3.671,414328902.0,1531041363.835
2020-03-13,3.591,3.643,3.681,3.513,766372193.0,2753021876.287
2020-03-16,3.639,3.49,3.639,3.481,609645111.0,2168080978.863
2020-03-17,3.521,3.459,3.548,3.386,1051790158.0,3645999364.082
2020-03-18,3.472,3.401,3.525,3.397,836201323.0,2903199190.12
2020-03-19,3.404,3.369,3.416,3.271,1332452313.0,4456146356.017
2020-03-20,3.384,3.413,3.426,3.355,724521408.0,2456318768.325
2020-03-23,3.316,3.303,3.355,3.291,861793544.0,2858519649.078
2020-03-24,3.362,3.383,3.394,3.312,889144162.0,2993488748.895
2020-03-25,3.459,3.472,3.486,3.438,1078294527.0,3732548147.892
2020-03-26,3.45,3.45,3.487,3.438,379671500.0,1314493551.35
2020-03-27,3.493,3.466,3.517,3.464,524738270.0,1829774378.763
2020-03-30,3.428,3.434,3.452,3.4,530705908.0,1817215400.212
2020-03-31,3.469,3.437,3.472,3.428,399259450.0,1377646904.879
2020-04-01,3.432,3.441,3.487,3.423,379441665.0,1309936604.609
2020-04-02,3.427,3.487,3.492,3.411,494318618.0,1702317215.244
2020-04-03,3.475,3.463,3.488,3.45,346645133.0,1202415071.4
2020-04-07,3.522,3.541,3.553,3.52,583661898.0,2064202707.842
2020-04-08,3.528,3.527,3.54,3.515,236903574.0,835369076.81
2020-04-09,3.542,3.537,3.548,3.532,350730169.0,1241868020.678
2020-04-10,3.537,3.526,3.571,3.509,495597790.0,1752635037.792
2020-04-13,3.513,3.506,3.52,3.496,263356371.0,923357829.216
2020-04-14,3.522,3.564,3.567,3.517,401524476.0,1423412717.063
2020-04-15,3.564,3.544,3.573,3.542,255354030.0,907994641.914
2020-04-16,3.532,3.546,3.557,3.528,242667979.0,859202032.249
2020-04-17,3.573,3.577,3.602,3.569,609005451.0,2183824469.628
2020-04-20,3.584,3.592,3.593,3.572,408112491.0,1463235135.042
2020-04-21,3.578,3.555,3.583,3.532,312527059.0,1110170604.669
2020-04-22,3.54,3.587,3.588,3.533,369014190.0,1313936907.221
2020-04-23,3.59,3.58,3.599,3.571,215129430.0,771450449.682
2020-04-24,3.566,3.55,3.571,3.539,326482159.0,1159836789.846
2020-04-27,3.552,3.566,3.591,3.547,330358834.0,1180911446.366
2020-04-28,3.578,3.589,3.601,3.518,451421651.0,1614577806.437
2020-04-29,3.584,3.607,3.621,3.581,296597094.0,1069637522.951
2020-04-30,3.621,3.661,3.668,3.619,563653750.0,2059990937.449
2020-05-06,3.621,3.67,3.678,3.616,409348068.0,1490004471.924
2020-05-07,3.67,3.664,3.677,3.652,293185188.0,1073971198.36
2020-05-08,3.68,3.703,3.721,3.679,395705916.0,1464209061.255
2020-05-11,3.709,3.696,3.739,3.686,440152910.0,1634097108.258
2020-05-12,3.697,3.695,3.709,3.669,626218631.0,2310845674.829
2020-05-13,3.684,3.704,3.709,3.672,297197082.0,1096626960.21
2020-05-14,3.691,3.673,3.691,3.669,320450764.0,1178568299.324
2020-05-15,3.68,3.655,3.691,3.654,580277641.0,2129155229.138
2020-05-18,3.654,3.666,3.689,3.646,322450584.0,1184460537.165
2020-05-19,3.7,3.694,3.707,3.683,296902613.0,1096942157.1
2020-05-20,3.691,3.679,3.695,3.672,210903191.0,777073054.165
2020-05-21,3.684,3.654,3.691,3.652,252495784.0,926829388.632
2020-05-22,3.651,3.574,3.651,3.572,568845765.0,2048425731.163
2020-05-25,3.571,3.576,3.587,3.557,267479965.0,955690446.672
2020-05-26,3.591,3.619,3.621,3.591,507195064.0,1829472409.748
2020-05-27,3.619,3.602,3.62,3.591,246812513.0,889357447.917
