,display_name,name,start_date,end_date,type
150001.XSHE,瑞福进取,RFJQ,2007-09-21,2015-08-13,lof
150002.XSHE,大成优选,DCYX,2007-09-07,2012-07-26,lof
150003.XSHE,建信优势,JXYS,2008-09-19,2013-03-15,lof
150006.XSHE,同庆A,TQA,2009-05-26,2012-05-11,lof
150007.XSHE,同庆B,TQB,2009-05-26,2012-05-11,lof
150008.XSHE,瑞和小康,RHXK,2009-11-19,2020-09-02,fja
150009.XSHE,瑞和远见,RHYJ,2009-11-19,2020-09-02,fjb
150010.XSHE,国泰优先,GTYX,2010-03-11,2013-02-18,lof
150011.XSHE,国泰进取,GTJQ,2010-03-11,2013-02-18,lof
150012.XSHE,中证100A,ZZ100A,2010-06-18,2020-12-01,fja
150013.XSHE,中证100B,ZZ100B,2010-06-18,2020-12-01,fjb
150016.XSHE,合润A,HRA,2010-05-31,2020-12-31,fja
150017.XSHE,合润B,HRB,2010-05-31,2020-12-31,fjb
150018.XSHE,银华稳进,YHWJ,2010-06-07,2020-12-31,fja
150019.XSHE,银华锐进,YHRJ,2010-06-07,2020-12-31,fjb
150020.XSHE,汇利A,HLA,2010-10-08,2017-12-08,lof
150021.XSHE,汇利B,HLB,2010-10-08,2017-12-08,lof
150022.XSHE,深成指A,SCZA,2010-11-08,2020-12-31,fja
150023.XSHE,深成指B,SCZB,2010-11-08,2020-12-31,fjb
150025.XSHE,景丰A,JFA,2010-11-01,2013-10-15,lof
150026.XSHE,景丰B,JFB,2010-11-01,2013-10-15,lof
150027.XSHE,添利B,TLB,2010-12-20,2015-12-02,lof
150028.XSHE,中证500A,ZZ500A,2011-03-14,2020-12-31,fja
150029.XSHE,中证500B,ZZ500B,2011-03-14,2020-12-31,fjb
150030.XSHE,中证90A,ZZ90A,2011-04-08,2020-11-24,fja
150031.XSHE,中证90B,ZZ90B,2011-04-08,2020-11-24,fjb
150032.XSHE,多利优先,DLYX,2011-05-06,2020-11-25,fja
150033.XSHE,多利进取,DLJQ,2011-05-06,2020-11-25,fjb
150034.XSHE,聚利A,JLA,2011-07-08,2016-05-12,fja
150035.XSHE,聚利B,JLB,2011-07-08,2016-05-12,fjb
150036.XSHE,建信稳健,JXWJ,2011-06-08,2020-04-30,fja
150037.XSHE,建信进取,JXJQ,2011-06-08,2020-04-30,fjb
150038.XSHE,万家利B,WJLB,2011-08-29,2014-05-30,lof
150039.XSHE,鼎利A,DLA,2011-09-15,2017-09-14,fja
150040.XSHE,鼎利B,DLB,2011-09-15,2017-09-14,fjb
150041.XSHE,天盈B,TYB,2011-07-08,2014-05-22,lof
150042.XSHE,利鑫B,LXB,2011-09-23,2016-06-23,lof
150043.XSHE,裕祥B,XYB,2011-09-02,2014-06-09,lof
150044.XSHE,增利A,ZLA,2011-11-28,2014-08-29,lof
150045.XSHE,增利B,ZLB,2011-11-28,2014-08-29,lof
150046.XSHE,丰利B,FLB,2012-02-20,2014-11-21,lof
150047.XSHE,消费A,XFA,2011-10-21,2019-12-25,fja
150048.XSHE,消费B,XFB,2011-10-21,2019-12-25,fjb
150049.XSHE,消费收益,XFSY,2012-04-25,2020-11-13,fja
150050.XSHE,消费进取,XFJQ,2012-04-25,2020-11-13,fjb
150051.XSHE,沪深300A,HS300A,2012-02-17,2020-12-31,fja
150052.XSHE,沪深300B,HS300B,2012-02-17,2020-12-31,fjb
150053.XSHE,泰达500A,TD500A,2011-12-22,2019-11-01,fja
150054.XSHE,泰达500B,TD500B,2011-12-22,2019-11-01,fjb
150055.XSHE,500A,500A,2012-03-30,2020-02-14,fja
150056.XSHE,500B,500B,2012-03-30,2020-02-14,fjb
150057.XSHE,中小300A,ZX300A,2012-02-21,2018-08-03,fja
150058.XSHE,中小300B,ZX300B,2012-02-21,2018-08-03,fjb
150059.XSHE,资源A级,ZYAJ,2011-12-21,2020-09-29,fja
150060.XSHE,资源B级,ZYBJ,2011-12-21,2020-09-29,fjb
150061.XSHE,丰泽B,FZB,2011-12-26,2014-12-05,lof
150062.XSHE,浦银增A,PYZA,2012-03-09,2014-12-12,lof
150063.XSHE,浦银增B,PYZB,2012-03-09,2014-12-12,lof
150064.XSHE,同瑞A,TRA,2012-01-12,2020-08-25,fja
150065.XSHE,同瑞B,TRB,2012-01-12,2020-08-25,fjb
150066.XSHE,互利A,HLA,2012-01-17,2020-03-17,fja
150067.XSHE,互利B,HLB,2012-01-17,2020-03-17,fjb
150068.XSHE,双翼B,SYB,2012-04-23,2015-02-13,lof
150069.XSHE,双力A,SLA,2012-04-16,2015-03-20,lof
150070.XSHE,双力B,SLB,2012-04-16,2015-03-20,lof
150071.XSHE,盛世A,SSA,2012-04-27,2015-03-27,lof
150072.XSHE,盛世B,SSB,2012-04-27,2015-03-27,lof
150073.XSHE,诺安稳健,NAWJ,2012-04-27,2019-05-28,fja
150075.XSHE,诺安进取,NAJQ,2012-04-27,2019-05-28,fjb
150076.XSHE,浙商稳健,ZSWJ,2012-07-13,2018-08-10,fja
150077.XSHE,浙商进取,ZSJQ,2012-07-13,2018-08-10,fjb
150078.XSHE,回报B,HBB,2012-03-28,2015-03-06,lof
150079.XSHE,通利债B,TLZB,2012-06-08,2014-04-24,lof
150080.XSHE,双佳B,SJB,2012-08-22,2015-06-03,lof
150081.XSHE,双盈B,SYB,2012-07-12,2015-04-10,lof
150082.XSHE,信达利B,XDLB,2012-07-16,2015-05-06,lof
150083.XSHE,深证100A,SZ100A,2012-06-12,2020-05-21,fja
150084.XSHE,深证100B,SZ100B,2012-06-12,2020-05-21,fjb
150085.XSHE,中小板A,ZXBA,2012-05-28,2017-05-05,fja
150086.XSHE,中小板B,ZXBB,2012-05-28,2017-05-05,fjb
150088.XSHE,金鹰500A,JY500A,2012-07-03,2016-08-23,fja
150089.XSHE,金鹰500B,JY500B,2012-07-03,2016-08-23,fjb
150090.XSHE,成长A,CZA,2012-10-12,2018-08-13,fja
150091.XSHE,成长B,CZB,2012-10-12,2018-08-13,fjb
150092.XSHE,诺德300A,ND300A,2012-09-24,2020-07-01,fja
150093.XSHE,诺德300B,ND300B,2012-09-24,2020-07-01,fjb
