,open,close,high,low,volume,money
2020-01-02,29.33,29.34,29.38,28.85,11975228.0,348540859.5
2020-01-03,29.31,29.5,29.9,29.09,9409740.0,277935428.49
2020-01-06,29.2,29.25,29.89,28.96,10322803.0,303504059.05
2020-01-07,29.25,29.68,30.0,28.84,14963528.0,440503050.7
2020-01-08,29.7,29.76,30.09,29.51,9637337.0,287192519.63
2020-01-09,29.99,30.45,30.99,29.99,11018589.0,336798003.0
2020-01-10,31.51,33.15,33.39,31.51,26641948.0,869223494.79
2020-01-13,33.54,33.76,34.02,33.0,14671879.0,492970279.7
2020-01-14,33.6,32.65,33.91,32.59,15503880.0,512938043.96
2020-01-15,32.7,33.06,33.42,32.7,9523772.0,315206304.99
2020-01-16,33.37,33.49,33.54,32.64,8850870.0,294368995.49
2020-01-17,33.49,33.06,33.69,32.9,8895903.0,295093659.82
2020-01-20,33.6,33.17,34.27,32.46,9964426.0,329737743.09
2020-01-21,33.6,33.66,34.55,33.13,15408143.0,520057945.35
2020-01-22,33.78,33.83,34.02,32.57,11342222.0,379460913.01
2020-01-23,33.81,33.12,34.91,32.75,12898482.0,434871110.79
2020-02-03,31.42,30.99,33.03,29.82,19798693.0,618965609.82
2020-02-04,33.87,33.6,34.03,31.74,24678833.0,817770112.32
2020-02-05,34.13,35.61,36.45,32.93,30513570.0,1043954747.18
2020-02-06,34.91,35.78,36.7,34.04,29658029.0,1059207110.19
2020-02-07,35.79,34.9,36.07,34.39,19317950.0,679093459.88
2020-02-10,35.6,35.25,35.74,34.07,18236932.0,635386223.82
2020-02-11,34.96,34.2,34.96,34.07,14669025.0,503730147.28
2020-02-12,34.21,33.87,34.79,33.58,19678707.0,667229608.11
2020-02-13,33.87,33.42,33.87,32.72,15827936.0,526365263.19
2020-02-14,34.39,33.95,35.04,33.5,19912144.0,677869869.29
2020-02-17,34.56,34.9,35.23,34.17,20638606.0,718342148.48
2020-02-18,35.34,34.42,35.34,34.11,17284277.0,595410392.66
2020-02-19,34.49,33.21,34.49,33.13,17835418.0,597774400.1
2020-02-20,33.23,33.39,33.81,33.04,8483008.0,283247224.83
2020-02-21,33.43,33.43,33.56,32.7,15748649.0,521011700.52
2020-02-24,33.4,33.16,34.46,32.84,17130152.0,570375178.3
2020-02-25,32.75,32.89,33.43,32.03,16957318.0,556565732.17
2020-02-26,32.89,32.15,32.89,31.97,13011795.0,419140237.99
2020-02-27,32.19,32.77,33.05,32.08,11109827.0,362739409.81
2020-02-28,32.34,31.92,32.77,31.3,13086926.0,417767102.64
2020-03-02,31.92,32.34,32.54,31.47,10747274.0,345295161.31
2020-03-03,32.7,33.51,34.01,32.47,19057370.0,637350308.13
2020-03-04,33.24,33.6,33.75,32.83,11879837.0,396510287.0
2020-03-05,33.91,33.58,34.01,33.33,12589021.0,422477921.19
2020-03-06,34.21,34.15,35.24,34.01,18307078.0,629029472.88
2020-03-09,33.6,32.99,33.78,32.94,13217795.0,439905448.25
2020-03-10,32.29,33.17,33.27,31.9,13343399.0,435146677.08
2020-03-11,33.12,32.38,33.21,32.29,8109133.0,265222275.47
2020-03-12,32.01,31.89,32.25,31.62,8306594.0,264653745.97
2020-03-13,30.44,31.37,31.99,29.86,12504742.0,384613230.53
2020-03-16,31.68,30.16,32.08,30.11,9839568.0,306535157.58
2020-03-17,30.12,30.3,30.85,28.8,10676156.0,318411970.93
2020-03-18,30.85,29.92,31.05,29.92,8516691.0,260090540.48
2020-03-19,29.96,29.59,30.51,29.06,8056277.0,238954098.99
2020-03-20,29.94,30.68,30.76,29.77,9966768.0,302920506.92
2020-03-23,30.03,30.18,30.91,30.02,6875701.0,208790435.59
2020-03-24,30.83,30.88,31.32,30.37,19482627.0,600619171.59
2020-03-25,31.4,32.06,32.28,31.07,12436277.0,394627996.87
2020-03-26,31.94,33.74,34.04,31.6,26398545.0,878691500.96
2020-03-27,34.21,33.96,34.71,33.8,17946004.0,615464889.52
2020-03-30,33.78,33.97,34.45,33.29,12495758.0,425107428.02
2020-03-31,34.08,34.28,34.62,33.66,8821182.0,301727095.4
