code,pe_ratio,pb_ratio,total_assets,net_profit,roe
000001.XSHE,3.7578,0.4603,5516388000000.0,14248000000.0,3.1
000002.XSHE,6.5181,0.4934,1646701739373.12,5859130669.85,1.49
000004.XSHE,-3.7226,6.7295,501979169.3,-7750243.41,-2.27
000006.XSHE,28.5145,0.7971,28261235739.77,-11104088.58,-0.12
000008.XSHE,-7.8511,1.5162,11086858985.23,-62362416.25,-1.45
000009.XSHE,24.04,3.0756,50278681050.2,483329344.38,1.92
000010.XSHE,-5.2669,6.7164,3447341186.06,-59328964.15,-8.09
000011.XSHE,16.8556,1.1924,15583445761.13,12463001.86,0.24
000012.XSHE,9.2286,1.2337,28880915246.0,574289458.0,4.18
000014.XSHE,4.7693,1.6322,2643890140.14,56175214.05,3.49
000016.XSHE,-4.3222,1.4228,38337653005.04,-567105410.61,-7.16
000017.XSHE,-794.317,10.5272,360582593.97,193452.83,0.07
000019.XSHE,23.0858,1.8298,7690043882.39,106392714.13,2.26
000020.XSHE,261.04,10.0183,609760836.25,4567118.56,1.26
000021.XSHE,47.7123,2.3306,26789877169.65,197832250.15,1.41
000025.XSHE,72.1277,4.3758,2428172818.83,31583128.44,1.9
000026.XSHE,15.0471,1.3899,4197497788.32,78162925.58,2.4
000027.XSHE,8.8936,1.0065,153200503191.3,1302117139.11,2.39
000028.XSHE,9.9064,0.9506,50736934574.27,420789368.04,2.14
000029.XSHE,-1518.7372,3.0473,5660116336.12,-1625091.18,0.02
000030.XSHE,15.715,1.2495,16463613002.76,196912435.86,2.15
000031.XSHE,-3.6622,0.8596,208198007229.28,-615413212.34,-3.68
000032.XSHE,269.7831,4.0977,59195718735.47,-69768936.07,-2.03
000034.XSHE,17.0579,2.438,37374021470.99,429189917.17,5.22
000035.XSHE,38.5624,1.1832,27627097178.58,179715000.12,1.52
000036.XSHE,13.9421,1.0897,8079785135.27,25375530.65,0.44
000037.XSHE,-106.9158,3.4724,1974359583.85,5772335.02,0.6
000039.XSHE,69.0768,0.9013,156591030000.0,461029000.0,0.2
000040.XSHE,-57.6855,0.4837,24481756574.54,21373691.69,0.19
000042.XSHE,-12.097000000000001,0.5094,35005109212.99,-87586829.19,-1.15
000045.XSHE,71.7141,2.0712,5741166019.48,46817560.04,1.05
000048.XSHE,4.6732,2.8927,12962781501.38,-19377152.54,-0.79
000049.XSHE,16.7474,2.4505,13658529596.71,180303196.26,4.49
000050.XSHE,-12.8431,0.9268,81941346525.5,-371591314.7,-1.29
000055.XSHE,14.4774,0.8152,13057370426.44,85127552.04,1.43
000056.XSHE,-3.3402,2.7844,9440419264.54,-98972028.69,-5.57
000058.XSHE,64.2895,4.2924,5344571317.07,12860679.26,0.12
000059.XSHE,-23.3531,0.6337,28641252763.39,295070258.25,2.07
000060.XSHE,18.295,1.3127,45475231538.92,283698578.85,1.39
000061.XSHE,30.2278,1.8402,21327451721.3,149742622.93,1.68
000062.XSHE,17.7178,1.6345,16700111807.6,161683380.81,2.01
000063.XSHE,13.9165,1.9112,189057761000.0,2364563000.0,3.65
000065.XSHE,13.5783,1.3787,21712426836.24,226077904.38,2.29
000066.XSHE,-127.8048,2.5383,33155011025.38,-178797076.35,-1.53
000068.XSHE,17.387,8.321,4126838370.52,-42852107.87,-9.49
000069.XSHE,-1.7739,0.4115,390117265720.51,-2686185094.24,-3.08
000078.XSHE,-8.0665,1.8106,36011587263.92,22031737.66,0.02
000088.XSHE,18.957,1.11,16884239008.31,203170604.45,1.87
000089.XSHE,-148.1974,1.2158,25008484198.5,219140056.37,2.04
000090.XSHE,5.5175,0.7831,67174905994.35,91993234.04,0.66
000096.XSHE,112.6159,2.3295,2817528953.36,34708881.51,1.29
000099.XSHE,30.7799,1.3482,6200725429.38,60846587.97,1.28
000100.XSHE,50.7203,1.5430000000000001,389212032795.0,3177861362.0,2.47
000151.XSHE,-9.4035,5.6408,3769517291.8,-29917908.4,3.44
000153.XSHE,19.3949,1.6680000000000001,4155140857.03,39045848.23,2.14
000155.XSHE,23.3861,3.3042,21307744850.79,181625577.26,1.82
000156.XSHE,18.3713,0.9313,28722132309.39,170675121.01,1.15
000157.XSHE,18.9366,1.047,136730233792.0,842541494.74,1.52
000158.XSHE,-68.0814,2.3674,15117999600.72,-88236286.52,-1.37
000159.XSHE,54.5428,1.2887,3474647325.61,30846248.1,1.28
000166.XSHE,38.9081,1.1158,612973195325.89,743814263.08,0.6
000301.XSHE,43.7841,1.7280000000000002,187260488875.27,797708816.84,2.14
000333.XSHE,11.6994,2.4564,465019979000.0,9758273000.0,6.27
000338.XSHE,14.717,1.5396,325221278958.0,3211586084.98,3.37
000400.XSHE,25.3394,2.0836,20969127110.97,260277502.15,2.11
000401.XSHE,-28.3642,0.5719,62770770855.07,7774592.48,0.16
000402.XSHE,-5.796,0.2969,150211629791.73,-635700502.82,-1.66
000403.XSHE,35.3986,2.7969999999999997,8244609207.18,182812320.85,2.6
000404.XSHE,10.4327,1.0965,13361991480.07,163206103.38,2.99
000407.XSHE,28.4006,1.1306,6675491716.77,32963252.32,0.74
000408.XSHE,8.9842,3.2316,13370135276.45,939876417.78,7.51
000409.XSHE,134.5126,4.3145,2472525288.64,16612793.25,0.24
000410.XSHE,-292.2152,15.2316,3581072891.15,-13205291.06,-1.31
000411.XSHE,14.0279,1.4489,15055776075.84,104957152.53,2.19
000413.XSHE,-14.4881,0.5551,58705223444.82,-62553336.7,-0.26
000415.XSHE,-14.9223,0.4347,264620564000.0,525457000.0,1.06
000417.XSHE,16.8383,0.8761,13527629191.49,28769193.03,0.27
000419.XSHE,28.8682,0.9498,5484485205.86,20386842.67,0.51
000420.XSHE,138.8227,1.6318,10850418697.89,5792649.58,0.13
000421.XSHE,37.7226,1.4236,15284632231.14,56382269.47,1.04
000422.XSHE,27.4066,1.6868,21423473545.17,260387278.72,2.41
000423.XSHE,30.2263,3.0674,13186325974.3,253263417.31,2.47
000425.XSHE,14.4314,1.1595,164084046263.9,1296833654.65,2.28
000426.XSHE,34.255,2.7469,10668501487.06,403790731.6,6.99
000428.XSHE,-18.2536,2.4221,5006496072.59,-31293778.43,-1.22
000429.XSHE,12.264000000000001,1.8537,21227017215.39,656110446.14,5.06
000430.XSHE,-16.6315,2.4729,2831362584.75,-1191083.75,-0.11
000488.XSHE,-13.998,0.6682,79826170457.29,-124791407.05,-0.45
000498.XSHE,3.9399,0.6946,126010260034.87,409408109.98,1.63
000501.XSHE,71.6533,0.6007,32142241167.39,1464117.54,0.01
000503.XSHE,-169.5559,21.4232,1052356628.94,-23605573.74,-3.82
000504.XSHE,-283.4983,253.4912,542187740.19,10530650.09,99.29
000505.XSHE,38.6809,1.5831,7358226592.3,5251964.14,0.16
000507.XSHE,15.1162,0.9785,20900799161.95,85633074.03,0.63
000509.XSHE,182.6044,26.0595,700228361.54,-734600.4,-2.65
000510.XSHE,-42.3801,2.5635,2607058558.26,-29897618.71,-2.14
000513.XSHE,16.1401,2.3711,24799963451.5,450250338.49,3.45
000514.XSHE,19.3915,0.9673,7713723204.26,-1246003.51,-0.01
000516.XSHE,-32.0591,4.5297,11115603256.35,-11608538.0,0.0
000517.XSHE,10.7832,0.8493,58084273717.76,169855169.84,1.86
000518.XSHE,-60.2264,6.651,698674418.4,-5936829.93,-1.07
000519.XSHE,136.3052,1.9717,14222428030.94,100089334.57,1.02
000520.XSHE,-203.4649,5.2217,745365719.2,-8234948.7,-1.52
000521.XSHE,9.9782,1.0379,19316478659.62,149045745.77,2.55
000523.XSHE,-121.6964,4.3912,3165411133.85,35205080.27,1.38
000524.XSHE,-238.0736,2.8560000000000003,3480143772.29,38625792.27,1.44
000526.XSHE,50.9047,10.8446,3323196938.34,26932583.87,5.16
000528.XSHE,15.6639,0.8059999999999999,45783665456.2,212356460.05,1.3
000529.XSHE,11.775,1.2857,6771726359.22,30437114.26,0.99
000530.XSHE,54.8377,1.4669,8248498357.51,16276154.66,0.47
000531.XSHE,33.7177,1.3357,18194339973.22,168989550.15,2.95
000532.XSHE,64.0903,3.1261,2414931845.79,23332095.2,1.74
000533.XSHE,53.3447,4.255,2620698876.72,38929360.14,3.66
000534.XSHE,51.8302,5.4811,2790248464.42,37046137.19,2.8
000536.XSHE,-6.9697,3.6785,7891056448.03,-370005414.58,-11.82
000537.XSHE,21.9306,1.0516,49186617027.49,276055473.9,1.5
000538.XSHE,18.3239,2.2142,53332349176.43,1296247202.12,3.3
000539.XSHE,59.6823,1.171,150804454709.0,1264603035.0,4.04
000541.XSHE,42.1818,1.9855,15306358220.91,95745876.66,1.35
000543.XSHE,11.5361,1.0102,59822626762.63,984331713.44,5.29
000544.XSHE,10.6666,0.9036,36407097558.44,251672059.89,3.24
000545.XSHE,-11.437000000000001,2.0773,2904141317.55,-13553738.58,-0.95
000546.XSHE,-12.8742,1.3730000000000002,8389242318.35,-63461001.78,-0.93
000547.XSHE,-19.6048,1.6095,13877052069.6,-207230313.22,-2.36
000548.XSHE,34.3111,1.4180000000000001,3738013354.05,31063170.6,1.63
000550.XSHE,13.6062,1.6599,27997951346.0,225724717.0,2.87
000551.XSHE,23.3386,1.8427,6297809160.2,77781439.49,2.06
000552.XSHE,8.1599,1.1709,27981185680.17,281104751.61,1.99
000553.XSHE,-13.4603,0.7141,58239864000.0,-800317000.0,-3.46
000554.XSHE,109.8809,2.9217,1715795383.12,10521619.99,1.06
000555.XSHE,64.2243,1.8036,11793247472.64,-3134461.74,0.1
000557.XSHE,33.9815,1.213,6311864547.61,69995216.13,1.21
000558.XSHE,-98.10799999999999,3.4595,1733538491.81,-12245545.02,-1.18
000559.XSHE,21.424,2.0388,19589071005.99,171664240.87,2.04
000560.XSHE,-34.2152,0.5168,34293528795.68,-9749351.23,-0.19
000561.XSHE,68.1557,2.7889999999999997,4080883383.3,-31061033.55,-1.32
000563.XSHE,14.7165,0.9201,24429105670.41,232854597.87,1.39
000564.XSHE,-17.7685,2.1949,29385193618.36,-182918164.63,-1.37
000565.XSHE,-54.8242,2.1413,1579803278.12,2728248.2,0.21
000566.XSHE,109.8081,2.7378,7296321662.9,-41186921.17,-1.58
000567.XSHE,15.4762,2.6768,9172912934.5,252474250.96,4.85
000568.XSHE,20.7724,6.8317,61405540815.15,3479744667.42,9.43
000570.XSHE,41.5863,1.157,5495618169.81,26820986.37,0.71
000571.XSHE,-14.110999999999999,7.7552,2992358988.41,-29455806.06,-10.95
000572.XSHE,-5.2816,4.1407,6634742479.1,-107204620.17,-4.31
000573.XSHE,-29.4381,1.4049,2409927992.03,-72889699.96,-4.55
000576.XSHE,43.849,2.2708,2019743087.37,8015969.58,0.58
000581.XSHE,86.6911,0.7999,27541971532.73,387633113.27,2.0
000582.XSHE,11.9794,1.0013,31939996294.75,273406608.53,1.82
000586.XSHE,130.5829,7.3152,567995257.75,4788625.76,1.42
000589.XSHE,9.1926,1.0883,17559693317.99,292408874.69,4.28
