,display_name,name,start_date,end_date,type
A0501.XDCE,豆一0501,a0501,2003-07-15,2005-01-17,futures
A0503.XDCE,豆一0503,a0503,2003-09-15,2005-03-14,futures
A0505.XDCE,豆一0505,a0505,2003-11-17,2005-05-20,futures
A0507.XDCE,豆一0507,a0507,2004-01-16,2005-07-14,futures
A0509.XDCE,豆一0509,a0509,2004-03-15,2005-09-14,futures
A0511.XDCE,豆一0511,a0511,2004-05-24,2005-11-14,futures
A0601.XDCE,豆一0601,a0601,2004-07-15,2006-01-17,futures
A0603.XDCE,豆一0603,a0603,2004-09-15,2006-03-14,futures
A0605.XDCE,豆一0605,a0605,2004-11-15,2006-05-19,futures
A0607.XDCE,豆一0607,a0607,2005-01-18,2006-07-14,futures
A0609.XDCE,豆一0609,a0609,2005-03-15,2006-09-14,futures
A0611.XDCE,豆一0611,a0611,2005-05-23,2006-11-14,futures
A0701.XDCE,豆一0701,a0701,2005-07-15,2007-01-17,futures
A0703.XDCE,豆一0703,a0703,2005-09-15,2007-03-14,futures
A0705.XDCE,豆一0705,a0705,2005-11-15,2007-05-21,futures
A0707.XDCE,豆一0707,a0707,2006-01-18,2007-07-13,futures
A0709.XDCE,豆一0709,a0709,2006-03-15,2007-09-14,futures
A0711.XDCE,豆一0711,a0711,2006-05-22,2007-11-14,futures
A0801.XDCE,豆一0801,a0801,2006-07-17,2008-01-15,futures
A0803.XDCE,豆一0803,a0803,2006-09-15,2008-03-14,futures
A0805.XDCE,豆一0805,a0805,2006-11-15,2008-05-16,futures
A0807.XDCE,豆一0807,a0807,2007-01-18,2008-07-14,futures
A0809.XDCE,豆一0809,a0809,2007-03-15,2008-09-12,futures
A0811.XDCE,豆一0811,a0811,2007-05-22,2008-11-14,futures
A0901.XDCE,豆一0901,a0901,2007-07-16,2009-01-16,futures
A0903.XDCE,豆一0903,a0903,2007-09-17,2009-03-13,futures
A0905.XDCE,豆一0905,a0905,2007-11-15,2009-05-15,futures
A0907.XDCE,豆一0907,a0907,2008-01-16,2009-07-14,futures
A0909.XDCE,豆一0909,a0909,2008-03-17,2009-09-14,futures
A0911.XDCE,豆一0911,a0911,2008-05-19,2009-11-13,futures
A1001.XDCE,豆一1001,a1001,2008-07-15,2010-01-15,futures
