沪深A股（包含科创板，不包含退市整理板块和ST板块）:
000001.XSHE: 平安银行
000002.XSHE: 万科A
000004.XSHE: 国华网安
000006.XSHE: 深振业A
000008.XSHE: 神州高铁
000009.XSHE: 中国宝安
000010.XSHE: 美丽生态
000011.XSHE: 深物业A
000012.XSHE: 南玻A
000014.XSHE: 沙河股份
000016.XSHE: 深康佳A
000017.XSHE: 深中华A
000019.XSHE: 深粮控股
000020.XSHE: 深华发A
000021.XSHE: 深科技
000025.XSHE: 特力A
000026.XSHE: 飞亚达
000027.XSHE: 深圳能源
000028.XSHE: 国药一致
000029.XSHE: 深深房A
000030.XSHE: 富奥股份
000031.XSHE: 大悦城
000032.XSHE: 深桑达A
000034.XSHE: 神州数码
000035.XSHE: 中国天楹
000036.XSHE: 华联控股
000037.XSHE: 深南电A
000039.XSHE: 中集集团
000040.XSHE: 东旭蓝天
000042.XSHE: 中洲控股
000045.XSHE: 深纺织A
000048.XSHE: 京基智农
000049.XSHE: 德赛电池
000050.XSHE: 深天马A
000055.XSHE: 方大集团
000056.XSHE: 皇庭国际
000058.XSHE: 深赛格
000059.XSHE: 华锦股份
000060.XSHE: 中金岭南
000061.XSHE: 农产品
000062.XSHE: 深圳华强
000063.XSHE: 中兴通讯
000065.XSHE: 北方国际
000066.XSHE: 中国长城
000068.XSHE: 华控赛格
000069.XSHE: 华侨城A
000078.XSHE: 海王生物
000088.XSHE: 盐田港
000089.XSHE: 深圳机场
000090.XSHE: 天健集团
000096.XSHE: 广聚能源
000099.XSHE: 中信海直
000100.XSHE: TCL科技
000151.XSHE: 中成股份
000153.XSHE: 丰原药业
000155.XSHE: 川能动力
000156.XSHE: 华数传媒
000157.XSHE: 中联重科
000158.XSHE: 常山北明
000159.XSHE: 国际实业
000166.XSHE: 申万宏源
000301.XSHE: 东方盛虹
000333.XSHE: 美的集团
000338.XSHE: 潍柴动力
000400.XSHE: 许继电气
000401.XSHE: 冀东水泥
000402.XSHE: 金融街
000403.XSHE: 派林生物
000404.XSHE: 长虹华意
000407.XSHE: 胜利股份
000408.XSHE: 藏格矿业
000409.XSHE: 云鼎科技
000410.XSHE: 沈阳机床
000411.XSHE: 英特集团
000413.XSHE: 东旭光电
000415.XSHE: 渤海租赁
000417.XSHE: 合肥百货
000419.XSHE: 通程控股
000420.XSHE: 吉林化纤
000421.XSHE: 南京公用
000422.XSHE: 湖北宜化
000423.XSHE: 东阿阿胶
000425.XSHE: 徐工机械
000426.XSHE: 兴业银锡
000428.XSHE: 华天酒店
000429.XSHE: 粤高速A
000430.XSHE: 张家界
000488.XSHE: 晨鸣纸业
000498.XSHE: 山东路桥
000501.XSHE: 武商集团
000503.XSHE: 国新健康
000504.XSHE: 南华生物
000505.XSHE: 京粮控股
000507.XSHE: 珠海港
000509.XSHE: 华塑控股
000510.XSHE: 新金路
000513.XSHE: 丽珠集团
000514.XSHE: 渝开发
000516.XSHE: 国际医学
000517.XSHE: 荣安地产
000518.XSHE: 四环生物
000519.XSHE: 中兵红箭
000520.XSHE: 凤凰航运
000521.XSHE: 长虹美菱
000523.XSHE: 红棉股份
000524.XSHE: 岭南控股
000526.XSHE: 学大教育
000528.XSHE: 柳工
000529.XSHE: 广弘控股
000530.XSHE: 冰山冷热
000531.XSHE: 穗恒运A
000532.XSHE: 华金资本
000533.XSHE: 顺钠股份
000534.XSHE: 万泽股份
000536.XSHE: 华映科技
000537.XSHE: 中绿电
000538.XSHE: 云南白药
000539.XSHE: 粤电力A
000541.XSHE: 佛山照明
000543.XSHE: 皖能电力
000544.XSHE: 中原环保
000545.XSHE: 金浦钛业
000546.XSHE: 金圆股份
000547.XSHE: 航天发展
000548.XSHE: 湖南投资
000550.XSHE: 江铃汽车
000551.XSHE: 创元科技
000552.XSHE: 甘肃能化
000553.XSHE: 安道麦A
000554.XSHE: 泰山石油
000555.XSHE: 神州信息
000557.XSHE: 西部创业
000558.XSHE: 莱茵体育
000559.XSHE: 万向钱潮
000560.XSHE: 我爱我家
000561.XSHE: 烽火电子
000563.XSHE: 陕国投A
000564.XSHE: 供销大集
000565.XSHE: 渝三峡A
000566.XSHE: 海南海药
000567.XSHE: 海德股份
000568.XSHE: 泸州老窖
000570.XSHE: 苏常柴A
000571.XSHE: 新大洲A
000572.XSHE: 海马汽车
000573.XSHE: 粤宏远A
000576.XSHE: 甘化科工
000581.XSHE: 威孚高科
000582.XSHE: 北部湾港
000586.XSHE: 汇源通信
000589.XSHE: 贵州轮胎
000590.XSHE: 启迪药业
000591.XSHE: 太阳能
000592.XSHE: 平潭发展
000593.XSHE: 德龙汇能
000595.XSHE: 宝塔实业
000596.XSHE: 古井贡酒
000597.XSHE: 东北制药
000598.XSHE: 兴蓉环境
000599.XSHE: 青岛双星
000600.XSHE: 建投能源
000601.XSHE: 韶能股份
000603.XSHE: 盛达资源
000605.XSHE: 渤海股份
000607.XSHE: 华媒控股
000608.XSHE: 阳光股份
000610.XSHE: 西安旅游
000612.XSHE: 焦作万方
000617.XSHE: 中油资本
000619.XSHE: 海螺新材
000620.XSHE: 新华联
000623.XSHE: 吉林敖东
000625.XSHE: 长安汽车
000626.XSHE: 远大控股
000627.XSHE: 天茂集团
000628.XSHE: 高新发展
000629.XSHE: 钒钛股份
000630.XSHE: 铜陵有色
000631.XSHE: 顺发恒业
000632.XSHE: 三木集团
000633.XSHE: 合金投资
000635.XSHE: 英力特
000636.XSHE: 风华高科
000637.XSHE: 茂化实华
000638.XSHE: 万方发展
000639.XSHE: 西王食品
000650.XSHE: 仁和药业
000651.XSHE: 格力电器
000652.XSHE: 泰达股份
000655.XSHE: 金岭矿业
000657.XSHE: 中钨高新
000659.XSHE: 珠海中富
000661.XSHE: 长春高新
000663.XSHE: 永安林业
000665.XSHE: 湖北广电
000668.XSHE: 荣丰控股
000670.XSHE: 盈方微
000672.XSHE: 上峰水泥
000676.XSHE: 智度股份
000677.XSHE: 恒天海龙
000678.XSHE: 襄阳轴承
000679.XSHE: 大连友谊
000680.XSHE: 山推股份
000681.XSHE: 视觉中国
000682.XSHE: 东方电子
000683.XSHE: 远兴能源
000685.XSHE: 中山公用
000686.XSHE: 东北证券
000688.XSHE: 国城矿业
000690.XSHE: 宝新能源
000691.XSHE: 亚太实业
000692.XSHE: 惠天热电
000695.XSHE: 滨海能源
000697.XSHE: 炼石航空
000698.XSHE: 沈阳化工
000700.XSHE: 模塑科技
000701.XSHE: 厦门信达
000702.XSHE: 正虹科技
000703.XSHE: 恒逸石化
000705.XSHE: 浙江震元
000707.XSHE: 双环科技
000708.XSHE: 中信特钢
000709.XSHE: 河钢股份
000710.XSHE: 贝瑞基因
000712.XSHE: 锦龙股份
000713.XSHE: 丰乐种业
000715.XSHE: 中兴商业
000716.XSHE: 黑芝麻
